Year,Month,Country,Institute,Longitude,Latitude,Journal,Title,Species,Functional group,Category
2018,May,China,East China Normal University,121.4068,31.2277,Science of the Total Environment,Microplastic-associated bacterial assemblages in the intertidal zone o the Yangtze Estuary,,Bacteria,Organism
2018,June,United States of America,College of the  Atlantic,-68.2226,44.3944,Environmental Pollution,Marine Environment microfiber contamination: Global patterns and the diversity of microparticle origins,none,Water,Environment
2018,June,Netherlands,Wageningen University,5.6658,51.9846,Polar Biology,Plastic ingestion by juvenile polar cod (Boreogadus saida) in the Arctic Ocean,,Small vert,Organism
2018,July,China,Education University of Hong Kong,114.193,22.4671,Science of the Total Environment,Spatio-temporal comparison of neustonic microplastic density in Hong Kong waters under the influence of the Pearl River Estuary,none,Water,Environment
2018,July,France,Universite de Brest,-4.5076,48.398,Frontiers in Marine Science,Constraints and Priorities for Conducting Experimental Exposures of Marine Organisms to Microplastics,none,Review,Review
2018,July,Chile,Universidad Catolica del Norte,-70.41,-23.681,Frontiers in Marine Science,"Impacts of Marine Plastic Pollution From Continental Coasts to Subtropical Gyres-Fish, Seabirds, and Other Vertebrates in the SE Pacific",Multiple,Review,Review
2018,August,Italy,Consiglio Nazionale delle Ricerche,12.48333,41.9,Water,Sea Water Contamination in the Vicinity of the Italian Minor Islands Caused by Microplastic Pollution,none,Water,Environment
2018,August,United Kingdom,University of Portsmouth,-1.0936,50.7952,Environmental Pollution,"The effects of trophic transfer and Environmental factors on microplastic uptake by plaice, Pleuronectes plastessa, and spider crab, Maja squinado",Multiple,Multiple Animals,Organism
2018,August,Spain,Universitat Autonoma de Barcelona,2.1046,41.5021,Marine Pollution Bulletin,Spatial occurrence and effects of microplastic ingestion on the deep-water shrimp Aristeus antennatus,,Invert,Organism
2018,August,Portugal,Universidade do Porto,-8.6157,41.1465,Marine Pollution Bulletin,"Marine microplastic debris: An emerging issue for food security, food safety and human health",none,Review,Review
2018,August,Brazil,Universidade Federal do Para,-48.4501,-1.4722,Marine Pollution Bulletin,First evidence of microplastic ingestion by fishes from the Amazon River estuary,Multiple,Multiple Animals,Organism
2018,August,Germany,GEOMAR helmoltz center for ocean research kiel,10.1228,54.3233,Proceedings of the Royal Society B- Biological Sciences,Rapid aggregation of biofilm-covered microplastics with marine biogenic particles,,Phytoplank,Organism
2018,October,United States of America,University of Connecticut,-72.254,41.8077,Environmental Science and Technology,Field-Based Evidence for Microplastic in Marine Aggregates and Mussels: Implications for Trophic Transfer,,Invert,Organism
2018,October,United States of America,University of North Carolina,-79.0469,35.9049,Frontiers in Marine Science,Cellular Bioreactivity of Micro- and Nano-Plastic Particles in Oysters,,Invert,Organism
2018,November,France,The Institut français de recherche pour l'exploitation de la mer ,-4.5588,48.3592,Environmental Pollution,"Nanoplastics impaired oyster free living stages, gametes and embryos",,Invert,Organism
2018,November,Spain,University of Barcelona,2.1641,41.3866,Plos One,The imprint of microfibres in southern European deep seas,none,Sediment,Environment
2018,November,Norway,Norwegian Institute for Water Research,5.3221,60.3913,Bio-Protocol,"Microplastic Extraction from Marine Vertebrate Digestive Tracts, Regurgitates and Scats: A Protocol for Researchers from All Experience Levels",none,Chemical,Chemical
