Year,Month,Country,Institute,Longitude,Latitude,Journal,Title,Species,Functional group,Category
2006,July,Singapore,National University of Singapore,103.7764,1.2966,Marine Pollution Bulletin,Prevalence of microplastics in Singapore's coastal marine Environment,none,Water,Environment
2008,July,United Kingdom,University of Plymouth,-4.1395,50.3762,Environmental Science and Technology,"Ingested microscopic plastic translocates to the circulatory system of the mussel, Mytilus edulis (L.)",,Invert,Organism
2009,July,Japan,Tokyo University of Agriculture and Technology,139.4839,35.6835,Philosophical Transactions of the Royal Society B- Biological Sciences,Transport and release of chemicals from plastics to the Environment and to wildlife,none,Chemical,Chemical
2009,August,New Zealand,University of Auckland,174.7691,-36.8523,Marine Pollution Bulletin,Contributing to marine pollution by washing your face: Microplastics in facial cleansers,none,Multiple Environments,Environment
2009,July,United Kingdom,British Atlantic Survey,0.08055556,52.2125,Philosophical Transactions of the Royal Society B- Biological Sciences,Accumulation and fragmentation of plastic debris in global Environments,none,Multiple Environments,Environment
2010,August,United States of America,Our Lady Lake University,-98.5434,29.4264,Abstracts of Papers of the American Chemical Society,Analysis of microplastics in Corpus Christi's marine Environment,none,Multiple Environments,Environment
2010,November,Portugal,Universidade Nova de Lisboa,-9.1603,38.7337,Marine Pollution Bulletin,Organic pollutants in microplastics from two beaches of the Portuguese coast,none,Sediment,Environment
2010,May,Australia,University of Sydney,151.1873,-33.8886,Environmental Science and Technology,Spatial Patterns of Plastic Debris along Estuarine Shorelines,none,Sediment,Environment
2010,September,Brazil,Universidade Federal de Pernambuco,-34.9507,-8.0518,Environmental Monitoring and Assessment,On the importance of size of plastic fragments and pellets on the strandline: a snapshot of a Brazilian beach,none,Sediment,Environment
2011,March,United Kingdom,University of Sheffield,-1.4879,53.3809,Marine Technology Society Journal,Interactions Between Microorganisms and Marine Microplastics: A Call for Research,Multiple,Review,Review
2011,August,United States of America,North Carolina State University,-78.6821,35.7847,Marine Pollution Bulletin,Microplastics in the marine Environment,none,Multiple Environments,Environment
2011,August,Germany,University Osnabruck,8.0448,52.2711,Marine Pollution Bulletin,Microplastics in oceans,none,Review,Review
2011,October,Belgium,Ghent University,3.7279,51.0466,Marine Pollution Bulletin,Occurrence and distribution of microplastics in marine sediments along the Belgian coast,none,Sediment,Environment
2011,December,Portugal,Universidade Nova de Lisboa,-9.1603,38.7337,Marine Pollution Bulletin,Plastic marine debris on the Portuguese coastline: A matter of size?,none,Sediment,Environment
2011,December,United Kingdom,Plymouth Marine Lab,-4.1478,50.3661,Marine Pollution Bulletin,Microplastics as contaminants in the marine Environment: A review,none,Review,Review
2011,February,United Kingdom,Unilever,-0.104671,51.511654,Environmental Science and Technology,A Thermodynamic Approach for Assessing the Environmental Exposure of Chemicals Absorbed to Microplastic,none,Chemical,Chemical
2011,July,Brazil,Universidade Federal do Rio de Janeiro,-43.1754,-22.9541,Estuaries and Coasts,Plastic Pollution at a Sea Turtle Conservation Area in NE Brazil: Contrasting Developed and Undeveloped Beaches,none,Sediment,Environment
2011,August,United States of America,University of Hawaii,-157.8171,21.2969,Marine Pollution Bulletin,Small plastic debris changes water movement and heat transfer through beach sediments,none,Sediment,Environment
2011,November,Ireland,University College Dublin,-6.2241,53.3082,Environmental Science and Technology,Accumulation of Microplastic on Shorelines Woldwide: Sources and Sinks,none,Sediment,Environment
2012,February,United Kingdom,University of Sheffield,-1.4879,53.3809,Science of the Total Environment,The applicability of reflectance micro-Fourier-transform infrared spectroscopy for the detection of synthetic microplastics in marine sediments,none,Review,Review
2012,March,Chile,Universidad Catolica del Norte,-70.41,-23.681,Environmental Science and Technology,Microplastics in the Marine Environment: A Review of the Methods Used for Identification and Quantification,none,Review,Review
2017,July,United Kingdom,Plymouth Marine Lab,-4.1478,50.3661,Environmental Pollution,Microplastic ingestion in fish larvae in the western English Channel,Multiple,Multiple Animals,Organism
2012,July,Germany,Carl von Ossietzky Universitat Oldenburg,8.176,53.142,Bulletin of Environmental Contamination and Toxicology,Microplastics in Beaches of the East Frisian Islands Spiekeroog and Kachelotplate,none,Sediment,Environment
2012,July,Germany,University of Munich,11.5748,48.1505,Limnology and Oceanography,"A novel, highly efficient method for the separation and quantification of plastic particles in sediments of aquatic Environments",none,Sediment,Environment
2012,September,United States of America,Smithsonian Tropical Research Institute,-82.254,9.351,Marine Pollution Bulletin,Boring crustaceans damage polystyrene floats under docks polluting marine waters with microplastic,,Invert,Organism
2012,October,Switzerland,University of Geneva,6.1451,46.1994,Environmental Science and Technology,Uptake and Effects of Microplastics on Cells and Tissue of the Blue Mussel Mytilus edulis L. after an Experimental Exposure,,Invert,Organism
2012,November,Italy,University of Siena,11.333,43.3192,Marine Pollution Bulletin,Are baleen whales exposed to the threat of microplastics? A case study of the Mediterranean fin whale (Balaenoptera physalus),,Large vert,Organism
2012,December,United Kingdom,University of Plymouth,-4.1395,50.3762,Marine Pollution Bulletin,Competitive sorption of persistent organic pollutants onto microplastics in the marine Environment,none,Chemical,Chemical
2011,June,United States of America,University of Hawaii,-157.8171,21.2969,Marine Pollution Bulletin,Pathways of marine debris derived from trajectories of Lagrangian drifters,none,Model,Environment
2012,April,Netherlands,University of Amsterdam,4.9557,52.3558,Reviews of Environmental Contamination and Toxicology,Plastics in the Marine Environment: The Dark Side of a Modern Gift,none,Review,Review
2012,June,Brazil,Universidade de Sao Paulo,-46.7308,-23.5614,Marine Pollution Bulletin,Plastic pellets as oviposition site and means of dispersal for the ocean-skater insect Halobates,,Invert,Organism
2012,October,Greece,University of Patras,21.7854,38.2892,Marine Environmental Research,Surface properties of beached plastic pellets,none,Chemical,Chemical
2012,October,United States of America,University of California San Diego,-117.1611,32.7157,Biology Letters,Increased oceanic microplastic debris enhances oviposition in an endemic pelagic insect,,Invert,Organism
2012,November,Netherlands,Wageningen University,5.6658,51.9846,Environmental Toxicology and Chemistry,Effects of nanopolystyrene on the feeding behavior of the blue mussel (Mytilus edulis L.),,Invert,Organism
2013,January,Netherlands,Wageningen University,5.6658,51.9846,Environmental Science and Technology,Effects of Microplastic on Fitness and PCB Bioaccumulation by the Lugworm Arenicola marina (L.),,Invert,Organism
2013,August,Germany,University Osnabruck,8.0448,52.2711,Environmental Science,Identification of polymer types and additives in marinemicroplastic particles using pyrolysis-GC/MS and scanning electron microscopy,none,Chemical,Chemical
2013,February,Germany,Carl von Ossietzky Universitat Oldenburg,8.176,53.142,Water Air and Soil Pollution,"Suspended Microplastics and Black Carbon Particles in the Jade System, Southern North Sea",none,Water,Environment
2013,February,United Kingdom,University of Plymouth,-4.1395,50.3762,Marine Pollution Bulletin,Occurrence of microplastics in the gastrointestinal tract of pelagic and demersal fish from the English Channel,Multiple,Multiple Animals,Organism
2013,April,United States of America,Our Lady Lake University,-98.5434,29.4264,Abstracts of Papers of the American Chemical Society,Analyzing microplastics in a marine Environment using FTIR,none,Chemical,Chemical
2013,May,Belgium,Ghent University,3.7279,51.0466,Marine Pollution Bulletin,New techniques for the detection of microplastics in sediments and field collected organisms,none,Chemical,Chemical
2012,April,Belgium,University of Liege,5.5591,50.5831,Marine Pollution Bulletin,Neustonic microplastic and zooplankton in the North Western Mediterranean Sea,none,Water,Environment
2013,July,United Kingdom,University of Exeter,-3.5351,50.7371,Environmental Pollution,The physical impacts of microplastics on marine organisms: A review,none,Review,Review
2013,August,Belgium,Ghent University,3.7279,51.0466,Marine Pollution Bulletin,Assessment of marine debris on the Belgian Continental Shelf,none,Water,Environment
2013,September,France,The Institut français de recherche pour l'exploitation de la mer ,-4.5588,48.3592,Journal of Marine Science,Marine litter within the European Marine Strategy Framework Directive,none,Policy,Policy
2013,September,Italy,Consiglio Nazionale delle Ricerche,12.48333,41.9,Estuarine Coastal and Shelf Science,"Microplastic particles in sediments of Lagoon of Venice, Italy: First observations on occurrence, spatial patterns and identification",none,Sediment,Environment
2013,October,South Korea,Korea Institute of Ocean Science and Technology,127.363,36.372,Environmental Science and Technology,Size-Dependent Effects of Micro Polystyrene Particles in the Marine Copepod Tigriopus japonicus,,Zooplank,Organism
2013,October,Brazil,Universidade Federal de Pernambuco,-34.9507,-8.0518,Marine Pollution Bulletin,Pelagic microplastics around an archipelago of the Equatorial Atlantic,none,Water,Environment
2013,November,Portugal,Universidade do Porto,-8.6157,41.1465,Ecological Indicators,"Single and combined effects of microplastics and pyrene on juveniles (0+group) of the common goby Pomatoschistus microps (Teleostei, Gobiidae)",,Small vert,Organism
2013,November,Belgium,Ghent University,3.7279,51.0466,Environmental Pollution,Microplastic pollution in deep-sea sediments,none,Sediment,Environment
2013,November,United States of America,University of California San Diego,-117.1611,32.7157,Plos One,Scales of Spatial Heterogeneity of Plastic Marine Debris in the Northeast Pacific Ocean,none,Water,Environment
2013,November,Australia,University of Western Australia,115.8179,-31.9801,Plos One,"Marine Plastic Pollution in Waters around Australia: Characteristics, Concentrations, and Pathways",none,Water,Environment
2013,December,South Korea,Korea Institute of Ocean Science and Technology,127.363,36.372,Marine Pollution Bulletin,Relationships among the abundances of plastic debris in different size classes on beaches in South Korea,none,Sediment,Environment
2013,December,India,National Aquatic Resources Res. & Dev. Agency,79.8612,6.9271,Marine Pollution Bulletin,"Quantitative analysis of plastic debris on recreational beaches in Mumbai, India",none,Sediment,Environment
2013,September,India,Indian Council of Agricultureal Research - Central Insitute of Fisheries Education,77.1611,28.6259,Environmental Monitoring and Assessment,"Plastic litter accumulation on high-water strandline of urban beaches in Mumbai, India",none,Sediment,Environment
2013,December,Germany,Jacobs University,8.6543,53.1677,Biogeosciences,Modelled transport of benthic marine microplastic pollution in the Nazare Canyon,none,Model,Environment
2013,February,Netherlands,Wageningen University,5.6658,51.9846,Marine Pollution Bulletin,Plastic ingestion by harbour seals (Phoca vitulina) in The Netherlands,,Large vert,Organism
2013,March,United States of America,University of Hawaii,-157.8171,21.2969,Marine Pollution Bulletin,Plastic pollution in the South Pacific subtropical gyre,none,Water,Environment
2013,April,Turkey,Istanbul University,28.9618,41.0126,Marine Environmental Research,Origin and abundance of marine litter along sandy beaches of the Turkish Western Black Sea Coast,none,Sediment,Environment
2013,May,Brazil,Universidade de Sao Paulo,-46.7308,-23.5614,Marine Pollution Bulletin,Polycyclic aromatic hydrocarbons (PAHs) in plastic pellets: Variability in the concentration and composition at different sediment depths in a sandy beach,none,Sediment,Environment
2013,June,United Kingdom,University of Portsmouth,-1.0936,50.7952,Environmental Pollution,Trophic level transfer of microplastic: Mytilus edulis (L.) to Carcinus maenas (L.),,Invert,Organism
2013,June,Chile,Universidad Catolica del Norte,-70.41,-23.681,Marine Environmental Research,Distribution and abundance of small plastic debris on beaches in the SE Pacific (Chile): A study supported by a citizen science project,none,Sediment,Environment
2013,June,South Korea,Korea Institute of Ocean Science and Technology,127.363,36.372,Ocean Science Journal,"Distribution of Small Plastic Debris in Cross-section and High Strandline on Heungnam Beach, South Korea",none,Sediment,Environment
2013,July,Netherlands,Wageningen University,5.6658,51.9846,Environmental Science and Technology,Plastic as a Carrier of POPs to Aquatic Organisms: A Model Analysis,none,Model,Environment
2013,August,Netherlands,Wageningen University,5.6658,51.9846,Environmental Science and Technology,Plastic in North Sea Fish,Multiple,Multiple Animals,Organism
2013,September,Italy,University of Florence,11.2598,43.7776,Estuarine Coastal and Shelf Science,Microplastic debris in sandhoppers,,Zooplank,Organism
2013,September,Portugal,Universidade Nova de Lisboa,-9.1603,38.7337,Estuarine Coastal and Shelf Science,Resin pellets from beaches of the Portuguese coast and adsorbed persistent organic pollutants,none,Sediment,Environment
2013,October,United States of America,University of California San Diego,-117.1611,32.7157,Peer J,Gooseneck barnacles (Lepas spp.) ingest microplastic debris in the North Pacific Subtropical Gyre,,Invert,Organism
2018,January,China,East China Normal University,121.4068,31.2277,Science of the Total Environment,Adherence of microplastics to soft tissue of mussels: A novel way to uptake microplastics beyond ingestion,,Invert,Organism
2013,December,Italy,University of Siena,11.333,43.3192,Marine Environmental Research,Plastic litter in the sea,none,Review,Review
2013,December,United Kingdom,University of Plymouth,-4.1395,50.3762,Current Biology,"Microplastic Moves Pollutants and Additives to Worms, Reducing Functions Linked to Health and Biodiversity",,Invert,Organism
2014,April,Canada,Dalhousie University,-63.5197,44.6366,Marine Pollution Bulletin,"Microplastic fibers in the intertidal ecosystem surrounding Halifax Harbor, Nova Scotia",Multiple,Multiple Animals,Organism
2013,June,United Kingdom,Plymouth Marine Lab,-4.1478,50.3661,Environmental Science and Technology,Microplastic Ingestion by Zooplankton,Multiple,Multiple Animals,Organism
2014,April,United Kingdom,University of Plymouth,-4.1395,50.3762,Marine Pollution Bulletin,"On the quantity and composition of floating plastic debris entering and leaving the Tamar Estuary, Southwest England",none,Water,Environment
2014,April,Netherlands,Wageningen University,5.6658,51.9846,Environmental Pollution,Leaching of plastic additives to marine organisms,none,Chemical,Chemical
2014,August,Belgium,Institute for Agricultural and Fisheries Research,4.4699,50.5039,Marine Pollution Bulletin,Quality assessment of the blue mussel (Mytilus edulis): Comparison between commercial and wild types,,Invert,Organism
2014,August,South Korea,Korea Institute of Ocean Science and Technology,127.363,36.372,Environmental Science and Technology,Large Accumulation of Micro-sized Synthetic Polymer Particles in the Sea Surface Microlayer,none,Water,Environment
2014,August,United Kingdom,University of Exeter,-3.5351,50.7371,Environmental Science and Technology,Uptake and Retention of Microplastics by the Shore Crab Carcinus maenas,,Invert,Organism
2014,December,United States of America,Five Gyres Institute,-118.3753,34.0257,Plos One,"Plastic Pollution in the World's Oceans: More than 5 Trillion Plastic Pieces Weighing over 250,000 Tons Afloat at Sea",none,Review,Review
2014,December,Belgium,Ghent University,3.7279,51.0466,Marine Pollution Bulletin,Macrodebris and microplastics from beaches in Slovenia,none,Sediment,Environment
2014,December,Japan,Kyushu University,130.425,33.6267,Marine Pollution Bulletin,Selective transport of microplastics and mesoplastics by drifting in coastal waters,none,Water,Environment
2014,December,United Kingdom,University of Plymouth,-4.1395,50.3762,Royal Society Open Science,The deep sea is a major sink for microplastic debris,none,Sediment,Environment
2014,April,Portugal,Universidade Nova de Lisboa,-9.1603,38.7337,Marine Environmental Research,Evidence of microplastics in samples of zooplankton from Portuguese coastal waters,none,Water,Environment
2014,February,South Korea,Korea University,127.0278,37.5908,Science of the Total Environment,Sorption capacity of plastic debris for hydrophobic organic chemicals,none,Chemical,Chemical
2014,February,Singapore,National University of Singapore,103.7764,1.2966,Marine Pollution Bulletin,Microplastics in Singapore's coastal mangrove ecosystems,none,Sediment,Environment
2014,February,Australia,Southern Cross University,153.2833,-28.81667,Environmental Science and Technology,Ingestion of Microplastic Has Limited Impact on a Marine Larva,,Zooplank,Organism
2014,February,Brazil,Universidade Federal de Pernambuco,-34.9507,-8.0518,Environmental Pollution,The present and future of microplastic pollution in the marineEnvironment,none,Review,Review
2014,February,Finland,Finnish Environmental Institute,25.0198,60.2297,Environmental Pollution,Ingestion and transfer of microplastics in the planktonic food web,none,Water,Environment
2014,February,United Kingdom,University of Plymouth,-4.1395,50.3762,Environmental Pollution,Enhanced desorption of persistent organic pollutants from microplastics under simulated physiological conditions,none,Chemical,Chemical
2014,February,Canada,University of Victoria,-123.3117,48.4634,Marine Pollution Bulletin,Widespread distribution of microplastics in subsurface seawater in the NE Pacific Ocean,none,Water,Environment
2014,January,Germany,University Osnabruck,8.0448,52.2711,Environmental Pollution,A new analytical approach for monitoring microplastics in marinesediments,none,Chemical,Chemical
2014,July,Australia,Royal Melbourne Institute of Technology,144.958,-37.8047,Environmental Science and Technology,"Assimilation of Polybrominated Diphenyl Ethers from Microplastics by the Marine Amphipod, Allorchestes Compressa",,Invert,Organism
2014,July,United States of America,Sea Education Association,-70.6731,41.5265,Science,Microplastics in the seas,none,Multiple Environments,Environment
2014,July,Spain,Universidad Cadiz,-6.2977,36.5339,Proceedings of the National Academy of Sciences of the United States of America,Plastic debris in the open ocean,none,Water,Environment
2014,February,Belgium,University of Liege,5.5591,50.5831,Marine Pollution Bulletin,Annual variation in neustonic micro- and meso-plastic particles and zooplankton in the Bay of Calvi (Mediterranean-Corsica),none,Water,Environment
2014,July,Brazil,Universidade Federal de Pernambuco,-34.9507,-8.0518,Environmental Research,Distribution patterns of microplastics within the plankton of a tropical estuary,none,Water,Environment
2014,June,United States of America,Dartmouth College,-72.2887,43.7044,Earths Future,Global warming releases microplastic legacy frozen in Arctic Sea ice,none,Water,Environment
2014,March,United Kingdom,Plymouth Marine Lab,-4.1478,50.3661,Scientific Reports,Isolation of microplastics in biota-rich seawater samples and marine organisms,none,Water,Environment
2014,March,Canada,University of Moncton,-64.7821,46.105,Marine Pollution Bulletin,Protected areas in the Atlantic facing the hazards of micro-plastic pollution: First diagnosis of three islands in the Canary Current,none,Sediment,Environment
2014,March,United Kingdom,University of Plymouth,-4.1395,50.3762,Estuarine Coastal and Shelf Science,Transport of persistent organic pollutants by microplastics in estuarine conditions,none,Chemical,Chemical
2014,March,Germany,University Osnabruck,8.0448,52.2711,Environmental Pollution,Occurrence and spatial distribution of microplastics in sediments from Norderney,none,Sediment,Environment
2014,November,Germany,Alfred Wegener Institute,13.3937,52.5179,Environmental Science and Technology,Fate of Microplastics in the Marine lsopod Idotea emarginata,,Invert,Organism
2014,November,Ireland,Galway Mayo Institute of Technology,-9.0107,53.2775,Marine Pollution Bulletin,Microplastic pollution in the Northeast Atlantic Ocean: Validated and opportunistic sampling,none,Water,Environment
2014,October,Belgium,Ghent University,3.7279,51.0466,Environmental Pollution,Microplastics in bivalves cultured for human consumption,Multiple,Multiple Animals,Organism
2014,September,China,East China Normal University,121.4068,31.2277,Marine Pollution Bulletin,"Suspended microplastics in the surface water of the Yangtze Estuary System, China: First observations on occurrence, distribution",none,Water,Environment
2014,September,France,The Institut français de recherche pour l'exploitation de la mer ,-4.5588,48.3592,Marine Environmental Research,"Monitoring the impact of litter in large vertebrates in the Mediterranean Sea within the European Marine Strategy Framework Directive (MSFD): Constraints, specificities and recommendations",none,Policy,Policy
2014,September,Australia,Royal Melbourne Institute of Technology,144.958,-37.8047,BMC Microbiology,Rapid bacterial colonization of low-density polyethylene microplastics in coastal sediment microcosms,Multiple,Bacteria,Organism
2014,September,Italy,University of Siena,11.333,43.3192,Marine Environmental Research,Large filter feeding marine organisms as indicators of microplastic in the pelagic Environment: The case studies of the Mediterranean basking shark (Cetorhinus maximus) and fin whale (Balaenoptera physalus),Multiple,Multiple Animals,Organism
2014,September,Italy,University of Siena,11.333,43.3192,Marine Environmental Research,Amount and distribution of neustonic micro-plastic off the western Sardinian coast (Central-Western Mediterranean Sea),none,Water,Environment
2014,October,Australia,James Cook University,146.7565,-19.3277,Endangered Species Research,Global research priorities to mitigate plastic pollution impacts on marine wildlife,,Review,Review
2014,October,Romania,University Alba Lulia,23.58333,46.06667,Journal of Environmental Protection and Ecology,STUDY CONCERNING THE POLLUTION OF THE MARINE HABITATS WITH THE MICROPLASTIC FIBRES,none,Multiple Environments,Environment
2014,March,United Kingdom,Environmental Investigation Agency London,-0.1278,51.5074,Marine Pollution Bulletin,Evaluating the impacts of marine debris on cetaceans,,Review,Review
2014,June,Australia,University of Western Australia,115.8179,-31.9801,Plos One,Millimeter-Sized Marine Plastics: A New Pelagic Habitat for Microorganisms and Invertebrates,Multiple,Multiple Animals,Organism
2014,September,United States of America,University of California Davis,-121.7617,38.5382,Science of the Total Environment,Early warning signs of endocrine disruption in adult fish from the ingestion of polyethylene with and without sorbed chemical pollutants from the marine Environment,,Small vert,Organism
2014,October,Italy,University of Siena,11.333,43.3192,Environmental Science and Technology,Accumulation and Embryotoxicity of Polystyrene Nanoparticles at Early Stage of Development of Sea Urchin Embryos Paracentrotus lividus,,Invert,Organism
2014,November,United Kingdom,University of Hull,-0.3677,53.7732,Fems Microbiology Ecology,Spatial and seasonal variation in diversity and structure of microbial biofilms on marine plastics in Northern European waters,none,Chemical,Chemical
2015,January,United Kingdom,Plymouth Marine Lab,-4.1478,50.3661,Environmental Science and Technology,"The Impact of Polystyrene Microplastics on Feeding, Function and Fecundity in the Marine Copepod Calanus helgolandicus",,Zooplank,Organism
2015,January,Portugal,Universidade do Porto,-8.6157,41.1465,Environmental Pollution,"Effects of microplastics on juveniles of the common goby (Pomatoschistus microps): Confusion with prey, reduction of the predatory performance and efficiency, and possible influence of developmental conditions",,Small vert,Organism
2015,January,Germany,University of Hamburg,9.9846,53.5666,Deep-Sea Research Part II:  Tropical Studies in Oceanography,Plastic pollution of the Kuril-Kamchatka Trench area (NW pacific),none,Sediment,Environment
2015,January,China,University of Hong Kong,114.1371,22.283,Chemosphere,The partition behavior of perfluorooctanesulfonate (PFOS) and perfluorooctanesulfonamide (FOSA) on microplastics,none,Chemical,Chemical
2015,February,United States of America,University of Georgia,-83.3773,33.948,Marine Pollution Bulletin,The amount and accumulation rate of plastic debris on marshes and beaches on the Georgia coast,none,Sediment,Environment
2015,March,Australia,James Cook University,146.7565,-19.3277,Marine Biology,Microplastic ingestion by scleractinian corals,,Invert,Organism
2015,March,Italy,Marche Polytechnic University,13.514,43.6174,Environmental Pollution,Pollutants bioavailability and toxicological risk from microplastics to marine mussels,,Invert,Organism
2015,March,Brazil,Universidade de Sao Paulo,-46.7308,-23.5614,Marine Pollution Bulletin,Assessment of microplastic toxicity to embryonic development of the sea urchin Lytechinus variegatus (Echinodermata: Echinoidea),,Invert,Organism
2015,March,Canada,University of Toronto,-79.3957,43.6629,Marine Pollution Bulletin,Optimization of elutriation device for filtration of microplastic particles from sediment,none,Chemical,Chemical
2015,April,Ireland,Galway Mayo Institute of Technology,-9.0107,53.2775,Environmental Pollution,"Microplastic and macroplastic ingestion by a deep diving, oceanic cetacean: The True's beaked whale Mesoplodon mirus",,Large vert,Organism
2015,April,Belgium,Ghent University,3.7279,51.0466,Environmental Pollution,Microplastics are taken up by mussels (Mytilus edulis) and lugworms (Arenicola marina) living in natural habitats,Multiple,Multiple Animals,Organism
2015,April,South Korea,Korea Institute of Ocean Science and Technology,127.363,36.372,Marine Pollution Bulletin,A comparison of microscopic and spectroscopic identification methods for analysis of microplastics in Environmental samples,none,Chemical,Chemical
2015,April,Germany,Leibniz Institut fur Polymerforschung Dresden,13.7239,51.0419,American Laboratory,Identification of Microplastics in the Marine Environment by Raman Microspectroscopy and Imaging,none,Chemical,Chemical
2015,May,United States of America,University of California Santa Barbara,-119.8489,34.414,Proceedings of the Royal Society B- Biological Sciences,Linking effects of anthropogenic debris to ecological impacts,none,Multiple Environments,Environment
2015,June,Italy,European Commision Joint Research Centre,8.6121,45.814,Marine Pollution Bulletin,First evidence of presence of plastic debris in stomach of large pelagic fish in the Mediterranean Sea,Multiple,Multiple Animals,Organism
2015,June,United Kingdom,Natural History Museum of London,-0.1764,51.4967,Marine Pollution Bulletin,Using a forensic science approach to minimize Environmental contamination and to identify microfibres in marine sediments,none,Chemical,Chemical
2015,June,United Kingdom,University of Plymouth,-4.1395,50.3762,Marine Pollution Bulletin,The English Channel: Contamination status of its transitional and coastal waters,none,Chemical,Chemical
2015,July,Germany,Helmholtz Association,13.9432,51.0582,Marine Pollution Bulletin,Ingested microplastics (> 100 mu m) are translocated to organs of the tropical fiddler crab Uca rapax,,Invert,Organism
2015,July,South Korea,Korea Institute of Ocean Science and Technology,127.363,36.372,Marine Pollution Bulletin,Marine neustonic microplastics around the southeastern coast of Korea,none,Water,Environment
2015,July,Colombia,Universidad de Cartagena,-75.5498,10.4256,Environmental Monitoring and Assessment,Microplastic resin pellets on an urban tropical beach in Colombia,none,Sediment,Environment
2015,July,Portugal,Universidade do Porto,-8.6157,41.1465,Aquatic Toxicology,Does the presence of microplastics influence the acute toxicity of chromium(VI) to early juveniles of the common goby (Pomatoschistus microps)? A study with juveniles from two wild estuarine populations,,Small vert,Organism
2015,August,Brazil,CAPES Foundation,-47.9218,-15.8267,Marine Pollution Bulletin,Microplastics in the marine Environment: Current trends and future perspectives,none,Review,Review
2015,August,Switzerland,Oceaneye Association,6.1432,46.2044,Environmental Science and Pollution Research,An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea,none,Water,Environment
2015,September,China,Guangdong University of Technology,113.2989,23.0956,Marine Pollution Bulletin,Occurrence of microplastics in the coastal marine Environment: First observation on sediment of China,none,Sediment,Environment
2015,September,Belgium,Institute for Agricultural and Fisheries Research,4.4699,50.5039,Marine Pollution Bulletin,"Microplastic contamination in brown shrimp (Crangon crangon, Linnaeus 1758) from coastal waters of the Southern North Sea and Channel area",,Invert,Organism
2015,September,Germany,Leibniz Institut fur Polymerforschung Dresden,13.7239,51.0419,Analytical and Bioanalytical Chemistry,Identification of microplastics by FTIR and Raman microscopy: a novel silicon filter substrate opens the important spectral range below 1300 cm(-1) for FTIR transmission measurements,none,Chemical,Chemical
2014,July,Brazil,Universidade Federal de Pernambuco,-34.9507,-8.0518,Water Air and Soil Pollution,Microplastics in the pelagic Environment around oceanic islands of the Western Tropical Atlantic Ocean,none,Water,Environment
2015,October,Ireland,Galway Mayo Institute of Technology,-9.0107,53.2775,Scientific Reports,Microplastics in Arctic polar waters: the first reported values of particles in surface and sub-surface samples,none,Water,Environment
2015,October,Belgium,Ghent University,3.7279,51.0466,Marine Environmental Research,"Microplastics in sediments: A review of techniques, occurrence and effects",none,Review,Review
2015,October,South Korea,Incheon National University,126.6329,37.3751,Archives of Environmental Contamination and Toxicology,Factors Influencing the Spatial Variation of Microplastics on High-Tidal Coastal Beaches in Korea,none,Sediment,Environment
2015,October,South Korea,Incheon National University,126.6329,37.3751,Archives of Environmental Contamination and Toxicology,Abundance and Distribution Characteristics of Microplastics in Surface Seawaters of the Incheon/Kyeonggi Coastal Region,none,Water,Environment
2015,October,France,Centre National de la Recherche Scientifique,2.264,48.8476,Marine Chemistry,Interactions between microplastics and phytoplankton aggregates: Impact on their respective fates,Multiple,Multiple Animals,Organism
2015,October,South Korea,Korea Institute of Ocean Science and Technology,127.363,36.372,Archives of Environmental Contamination and Toxicology,"Occurrence and Distribution of Microplastics in the Sea Surface Microlayer in Jinhae Bay, South Korea",none,Water,Environment
2015,October,South Korea,Korea Institute of Ocean Science and Technology,127.363,36.372,Archives of Environmental Contamination and Toxicology,Microplastics in the Ocean,none,Review,Review
2015,October,South Korea,Korea Marine Litter Institute,128.4332,34.8544,Archives of Environmental Contamination and Toxicology,Distribution and Size Relationships of Plastic Marine Debris on Beaches in South Korea,none,Sediment,Environment
2018,April,Iran,University of Hormozgan,56.4385,27.2694,Environmental Pollution,Microplastics contamination in molluscs from the northern part of the Persian Gulf,Multiple,Multiple Animals,Organism
2015,October,Canada,Simon Fraser University,-122.918,49.2768,Archives of Environmental Contamination and Toxicology,Intertidal Concentrations of Microplastics and Their Influence on Ammonium Cycling as Related to the Shellfish Industry,,Invert,Organism
2015,October,Sweden,Stockholm University,18.0578,59.3622,Marine Pollution Bulletin,Screening for microplastic particles in plankton samples: How to integrate marine litter assessment into existing monitoring programs?,none,Water,Environment
2015,October,Belgium,University of Liege,5.5591,50.5831,Archives of Environmental Contamination and Toxicology,Detection of Anthropogenic Particles in Fish Stomachs: An Isolation Method Adapted to Identification by Raman Spectroscopy,none,Chemical,Chemical
2015,October,Germany,University of Rostock,12.1035,54.0755,Marine Pollution Bulletin,Microplastic concentrations in beach sediments along the German Baltic coast,none,Sediment,Environment
2015,October,South Korea,Korea Institute of Ocean Science and Technology,127.363,36.372,Archives of Environmental Contamination and Toxicology,Potential Threat of Microplastics to Zooplanktivores in the Surface Waters of the Southern Sea of Korea,Multiple,Multiple Animals,Organism
2015,November,Finland,Aalto University,24.8277,60.1867,Water Science and Technology,"Do wastewater treatment plants act as a potential point source of microplastics? Preliminary study in the coastal Gulf of Finland, Baltic Sea",none,Water,Environment
2015,November,Belgium,Institute for Agricultural and Fisheries Research,4.4699,50.5039,Environmental Research,A critical view on microplastic quantification in aquatic organisms,none,Review,Review
